date,value
2016-04-30,24628600000000
2016-05-31,25141180000000
2016-06-30,25528420000000
2016-07-31,26475930000000
2016-08-31,26736940000000
2016-09-30,27045740000000
2016-10-31,27466800000000
2016-11-30,27354210000000
2016-12-31,27247910000000
2017-01-31,27890910000000
2017-02-28,28842580000000
2017-03-31,29057520000000
2017-04-30,29246060000000
2017-05-31,29767770000000
2017-06-30,30841180000000
2017-07-31,30951440000000
2017-08-31,31473500000000
2017-09-30,30942540000000
2017-10-31,32186000000000
2017-11-30,31555340000000
2017-12-31,31831940000000
2018-01-31,33277300000000.00390625
2018-02-28,32434100000000
2018-03-31,32748480000000
2018-04-30,31872760000000
2018-05-31,32527570000000
2018-06-30,32436950000000
2018-07-31,33122330000000
2018-08-31,33241120000000.00390625
2018-09-30,33057519999999.99609375
2018-10-31,29529640000000
2018-11-30,29753790000000
2018-12-31,29318450000000
2019-01-31,29919880000000
2019-02-28,31286260000000
2019-03-31,32126560000000
2019-04-30,33106559999999.99609375
2019-05-31,31717050000000
2019-06-30,32424470000000
2019-07-31,32706460000000
2019-08-31,32117200000000
2019-09-30,32784559999999.99609375
2019-10-31,34388589999999.99609375
2019-11-30,34809140000000
2019-12-31,36413520000000
2020-01-31,34903350000000
2020-02-29,34302260000000.00390625
2020-03-31,29516730000000
2020-04-30,33428350000000
2020-05-31,33289670000000
2020-06-30,35382680000000
2020-07-31,38521510000000
2020-08-31,38308660000000
2020-09-30,38112910000000
2020-10-31,38246440000000
2020-11-30,41811950000000
2020-12-31,44903830000000
2021-01-31,46130750000000
2021-02-28,48626580000000
2021-03-31,50160370000000
2021-04-30,53642020000000
2021-05-31,52150240000000
2021-06-30,54314190000000
2021-07-31,52893640000000
2021-08-31,53645500000000
2021-09-30,52052840000000
2021-10-31,52279400000000
2021-11-30,53669420000000
2021-12-31,56282020000000
2022-01-31,54797510000000
2022-02-28,54742680000000
2022-03-31,54895520000000
2022-04-30,51493080000000
2022-05-31,52195870000000
2022-06-30,46257840000000
2022-07-31,46821350000000
2022-08-31,47151560000000
2022-09-30,41974360000000
2022-10-31,40478420000000
2022-11-30,46507580000000
2022-12-31,44266030000000
2023-01-31,47783650000000
2023-02-28,48552980000000
2023-03-31,49781610000000
2023-04-30,48913330000000
2023-11-30,55123460000000
2023-12-31,56842090000000
2024-01-31,56865550000000
2024-02-29,60273020000000
2024-03-31,64512800000000
2024-04-30,64864410000000
2024-05-31,67390300000000
2024-06-30,73397510000000
2024-07-31,70824710000000
2024-08-31,71086040000000
2024-09-30,70978380000000
2024-10-31,73067930000000
2024-11-30,71369030000000
2024-12-31,73898670000000
2025-01-31,75531320000000
2025-02-28,74051680000000
2025-03-31,66562009999999.9921875
2025-04-30,65090780000000
2025-05-31,68706280000000
2025-06-30,71696280000000
2025-07-31,75873730000000
